time,equity,drawdown
2026-03-24 10:50:00-04:00,9851.95,-148.05
2026-03-24 11:15:00-04:00,9737.77,-262.23
2026-03-27 11:20:00-04:00,9586.85,-413.15
2026-04-01 13:00:00-04:00,9789.06,-210.94
2026-04-09 14:00:00-04:00,9836.58,-163.42
2026-04-15 12:45:00-04:00,9703.58,-296.42
2026-04-16 12:15:00-04:00,9910.62,-89.38
2026-04-20 11:00:00-04:00,10125.67,125.67
2026-04-20 11:05:00-04:00,10344.0,218.33
2026-04-21 13:25:00-04:00,10475.48,131.48
2026-04-24 14:10:00-04:00,10500.04,24.56
2026-04-30 10:30:00-04:00,10364.58,-135.46
2026-05-08 13:00:00-04:00,10585.08,85.04
2026-05-11 12:40:00-04:00,10417.53,-167.55
2026-05-15 13:20:00-04:00,10642.7,57.62
2026-05-18 12:20:00-04:00,10505.96,-136.74
2026-05-21 13:15:00-04:00,10725.19,82.49
2026-06-02 13:00:00-04:00,10893.91,168.72
2026-06-05 12:05:00-04:00,11129.69,235.78
2026-06-10 12:00:00-04:00,11005.13,-124.56
