trade_num,entry_time,exit_time,day,pattern,side,entry_price,exit_price,stop,target,stop_dist,qty,bars_held,mins_held,gross_pnl,commission,net_pnl,result,equity,rsi,atr,ema,vwap,sess_open,pct_from_open,cumulative_pnl
1,2026-03-24 10:45:00-04:00,2026-03-24 10:50:00-04:00,2026-03-24,tweezer_top,short,583.8,584.91,584.73,582.3,0.75,133.3333,1,5,-146.75,1.3,-148.05,SL,9851.95,51.6,1.5104,585.27,589.19,584.82,-0.174,-148.05
2,2026-03-24 10:55:00-04:00,2026-03-24 11:15:00-04:00,2026-03-24,tweezer_top,short,584.34,587.11,586.93,579.52,2.41,40.8799,4,20,-112.89,1.3,-114.19,SL,9737.77,60.0,1.7696,585.22,589.15,584.82,-0.081,-262.23
3,2026-03-27 11:05:00-04:00,2026-03-27 11:20:00-04:00,2026-03-27,tweezer_top,short,567.27,568.25,568.08,566.0,0.64,153.3483,3,15,-149.62,1.3,-150.92,SL,9586.85,53.9,1.1582,568.51,586.56,570.81,-0.62,-413.15
4,2026-04-01 10:35:00-04:00,2026-04-01 13:00:00-04:00,2026-04-01,bullish_engulfing,long,584.61,587.66,583.0,587.48,1.43,66.8074,29,145,203.51,1.3,202.21,TP,9789.06,75.7,1.5647,581.33,581.41,581.48,0.538,-210.94
5,2026-04-09 11:30:00-04:00,2026-04-09 14:00:00-04:00,2026-04-09,bullish_engulfing,long,607.13,607.97,605.27,610.49,1.68,58.2664,30,150,48.82,1.3,47.52,TIMEOUT,9836.58,72.3,0.8476,605.08,583.51,606.04,0.18,-163.42
6,2026-04-15 11:10:00-04:00,2026-04-15 12:45:00-04:00,2026-04-15,bullish_engulfing,long,633.2,631.7,631.89,635.44,1.12,87.8413,19,95,-131.7,1.3,-133.0,SL,9703.58,72.7,0.7356,631.11,587.61,629.12,0.648,-296.42
7,2026-04-16 11:00:00-04:00,2026-04-16 12:15:00-04:00,2026-04-16,bullish_engulfing,long,639.43,642.24,637.93,642.05,1.31,74.0733,15,75,208.34,1.3,207.04,TP,9910.62,80.8,0.8761,637.48,589.3,639.22,0.034,-89.38
8,2026-04-20 10:40:00-04:00,2026-04-20 11:00:00-04:00,2026-04-20,bearish_engulfing,short,645.41,643.11,646.66,643.3,1.05,93.9891,4,20,216.35,1.3,215.05,TP,10125.67,32.4,1.011,647.04,593.06,648.04,-0.406,125.67
9,2026-04-20 10:50:00-04:00,2026-04-20 11:05:00-04:00,2026-04-20,tweezer_top,short,644.84,642.36,646.17,642.56,1.14,88.8253,3,15,219.64,1.3,218.34,TP,10344.0,38.1,1.061,646.77,593.14,648.04,-0.494,344.0
10,2026-04-21 10:55:00-04:00,2026-04-21 13:25:00-04:00,2026-04-21,tweezer_top,short,646.43,644.18,648.37,642.93,1.75,59.1086,30,150,132.78,1.3,131.48,TIMEOUT,10475.48,43.3,0.8994,648.03,594.28,648.39,-0.303,475.48
11,2026-04-24 11:40:00-04:00,2026-04-24 14:10:00-04:00,2026-04-24,bullish_engulfing,long,662.92,663.4,660.77,666.82,1.95,53.7218,30,150,25.85,1.3,24.55,TIMEOUT,10500.04,88.2,0.8508,659.71,598.7,658.47,0.676,500.04
12,2026-04-30 10:15:00-04:00,2026-04-30 10:30:00-04:00,2026-04-30,tweezer_top,short,658.6,660.42,660.22,655.75,1.42,73.6851,3,15,-134.16,1.3,-135.46,SL,10364.58,41.7,1.6799,660.16,603.44,665.31,-1.009,364.58
13,2026-05-08 10:40:00-04:00,2026-05-08 13:00:00-04:00,2026-05-08,bullish_engulfing,long,706.3,709.55,704.57,709.34,1.52,68.1871,28,140,221.8,1.3,220.5,TP,10585.08,79.6,1.1314,702.56,612.8,699.92,0.912,585.08
14,2026-05-11 11:45:00-04:00,2026-05-11 12:40:00-04:00,2026-05-11,bullish_engulfing,long,713.83,712.66,712.87,715.33,0.75,141.1344,11,55,-166.25,1.3,-167.55,SL,10417.53,69.0,0.7332,712.39,615.21,710.36,0.489,417.53
15,2026-05-15 11:55:00-04:00,2026-05-15 13:20:00-04:00,2026-05-15,bullish_engulfing,long,710.37,713.05,708.93,712.83,1.23,84.6967,17,85,226.46,1.3,225.16,TP,10642.7,48.6,1.3234,711.03,622.25,710.1,0.038,642.7
16,2026-05-18 11:40:00-04:00,2026-05-18 12:20:00-04:00,2026-05-18,bearish_engulfing,short,703.17,705.14,704.93,700.07,1.55,68.6631,8,40,-135.44,1.3,-136.74,SL,10505.96,47.8,1.8967,705.28,624.14,711.54,-1.176,505.96
17,2026-05-21 11:10:00-04:00,2026-05-21 13:15:00-04:00,2026-05-21,bullish_engulfing,long,709.52,714.06,707.15,713.85,2.16,48.6009,25,125,220.53,1.3,219.23,TP,10725.19,42.2,1.5713,709.42,628.43,709.0,0.074,725.19
18,2026-06-02 10:30:00-04:00,2026-06-02 13:00:00-04:00,2026-06-02,bullish_engulfing,long,743.64,745.91,741.99,746.5,1.43,75.0017,30,150,170.03,1.3,168.73,TIMEOUT,10893.91,54.0,1.2355,743.14,637.76,742.46,0.159,893.91
19,2026-06-05 11:20:00-04:00,2026-06-05 12:05:00-04:00,2026-06-05,tweezer_top,short,721.94,719.27,723.38,719.49,1.22,88.9317,9,45,237.07,1.3,235.77,TP,11129.69,35.3,1.5507,726.71,642.44,729.93,-1.094,1129.69
20,2026-06-10 11:45:00-04:00,2026-06-10 12:00:00-04:00,2026-06-10,tweezer_top,short,697.99,702.32,702.11,690.17,3.91,28.4649,3,15,-123.25,1.3,-124.55,SL,11005.13,23.1,2.9833,702.51,647.87,701.49,-0.5,1005.13
